text,grade
" I ca n't stress this point enough : THE MOVIE SUCKS !!! . The International tries so hard to be a highly intelligent and complex movie and fails so spectacularly that you almost feel sorry for the actors . The biggest accomplishment of Clive Owen is that he actually stayed serious throughout the entire movie . Owen seems not to be able to let go of the character he played in Shoot 'em up . He really seems like the same character , only this time it does n't fit for this movie takes itself seriously , unfortunately . The characters , an interpol agent -LRB- Owen -RRB- and a co-worker of the DA of NY -LRB- Watts -RRB- trace down an evil international bank group and it takes them nearly an hour of the movie to find out that the evil bank may have bought the police -LRB- now how odd is that ? -RRB- . In the end they find out that the bank benefits from war -LRB- WOW !!!!!!!!!!!! -RRB- . These suprising turning points really ruin the concept of the film as a smart economy thriller la Syriana . The only great scenes are the ones where there is no plot at all , for example there 's a great action scene in the Guggenheim . But unfortunately theses scenes are rare . So The International neither works as a smart thriller nor as an entertaining action flick . I ca n't even imagine why a brilliant actress like Naomi Watts would star a movie like this . Clive Owen obviously had better performances like in Closer . Sorry , Tom Twyker . Should have kept on doing your artie farties . " ,2
" The International . The International is not your typical thriller . There is a certain cleverness about the way it was made . To begin with , German director Tom Tykwer -LRB- who gained international renown for Run Lola Run -RRB- and writer Eric Singer have the audacity -LRB- thank god -RRB- to challenge the intelligence of their viewers . Just take the opening clip . You see Louis Salinger -LRB- Clive Owen -RRB- watching his colleague Stumer return from a car where he was speaking to an informant who has information that could bring down the nefarious IBBC bank . Suddenly , Stumer vomits and collapses to the ground . He 's dead . Later Salinger learns that the poison that killed him must have come into effect within a minute . And yet even though Salinger and the viewers saw Stumer for every second of that minute , we have no idea who killed him . This film also has one of the most entertaining heroes , Louis Salinger , because he is vulnerable . In most thrillers and action movies -LRB- and I am referring specifically to the Steven Seagal films , the Bond series , etc. -RRB- , we know that the hero is going to survive and that predictability takes some of the excitement away from those films . So it is very refreshing to see a movie where the hero could actually die , whether it is by poisoning , gunfire or some other means . Finally , Tom Tykwer has filmed one of the best action scenes in recent years at what is supposed to be the Guggenheim . The building , with its elegant circular structure , is ideal for a dramatic shoot-out between the hero and an unlikely ally on the one hand and the other bad guys , dressed conspicuously in leather jackets , on the other . Who cares whether it is implausible or not ? It is simply riveting to watch and reminds me of some of the scenes found in one of the better Alfred Hitchcock pictures . But the film is not perfect . Some of the scenes , for instance , are an obvious parody of the Kennedy assassination , which we have seen so many times before and we really do not need to see again . There are also some scenes that make little to no sense , especially the key one right at the end . But overall , The International is a great film and it has logic that those who are clever or just want to see something new can appreciate . " ,8
" our world sucks . In recent times , the major news in the world has consisted of war and banking scandals . While The International is mostly an action flick , it does focus on these topics . Like Syriana and Michael Clayton , the movie portrays a world of vile people , although this one has characters whom it 's easier to define as protagonists . The movie 's plot is that two agents -LRB- Clive Owen and Naomi Watts -RRB- investigate a major bank 's role in arms trading . In a quest that takes them to places as far apart as New York and Luxembourg \* and even Turkey , these two do everything to look into the bizarre conspiracy ... not without interference . But the overall point is that pretty much everyone in these sorts of affairs is , for lack of a better word , bad . And it 's a true representation of what we 've seen in the world during the past few years . All in all , this movie was no worse than I expected , no better than I expected . Worth seeing maybe once . Directed by Tom Tykwer -LRB- Run Lola Run -RRB- and also starring Armin Mueller-Stahl . \* We do n't often see Luxembourg in movies . Or hear about it at all . " ,7
" the most shocking scene is NOT at the Guggenheim . Finally ! A well written action-thriller , with a strong focus on the thriller part , rather than the action . It has a meticulously thought out script , so as not to bore the audience with mere action after action scene , each trying to impress us more . It 's misunderstood as primarily an action flick , which was done for US-marketing reasons only . This film is neither for the multiplex crowd nor for the right-wing conspiracy theorists seeking proof of a liberal-slanted Hollywood . Notice how the ultra rightwing press , the NYpost and the WSJ hates and trashes this film ! What else could they do , since the main villain is the a-s s that they kiss , the international banking system . Hence , the title seemingly refers to the International Bank of Business and Credit -LRB- IBBC -RRB- , but ultimately points to global financial infrastructure that has such a tight grip on the world that nothing will change really , about most wars , poverty , hunger and perhaps climate change . It becomes clear that it 's not a conscious conspiracy , but more a tangled web where DEBT rules the world . The bankers are as caught up in this too , and will all use the definitive cop-out : If I do n't profit from this war , someone else will . That is why , while the scene at the Guggenheim is definitely the eye-candy , the confrontation between Owen and Muehler-Stahl as ex-Stasi colonel , is the most shocking part . In this scene , where Owen asks Watts to leave , when he cross-examines Muehler-Stahl , the viewer is likely to think torture is used . No . It 's another example of the fact that torture is dysfunctional and unnecessary at best . Owen knows that Muehler-Stahl will co-operate because he 's looking for redemption . Commenters who complain that the film lacked action scenes are forgetting that Tywker is ultimately a European filmmaker : He can certainly do action , but it 's NOT his middle name . He knows that if sparingly used , it 's more effective . It 's also beautifully shot with compelling vistas of the Italian coast and the rooftops from Istanbul . " ,8
" Fine Suspense Thriller That Lives Up to Its Name -- Shot in Just About Every Major European Tourist Locale . Without knowing anything about who wrote this movie , I would venture that the seed of inspiration behind this finely wrought suspense thriller-drama was the late Enron Corporation . And it keeps the the viewer guessing as to not only who will get bumped off next but in which European city the next assassination will occur . Most of the cast is actually European , which I find a breath of fresh air to all the Die Hard sequels which always seem to be in Los Angeles . And of course , the film has become even more relevant with the global financial crisis of late 2008 early 2009 , which the filmmakers could not have foreseen . Unless they 're psychics . The central plot concerns the international financial system and how these large conglomerates make deals that may influence national defense systems , political movements , and even revolutionary coups . Not bad for a day 's work at the office . Clive Owen is convincing in his role as Louis Salinger , a disillusioned former investigator for Scotland Yard who has been probing an international banking\/financial leviathan called IBBC for about as long as it takes to earn a medical degree . He has now joined Interpol to continue his international stake-out . Owen has uncovered evidence that IBBC has been playing brokerage firm for hundreds of millions of dollars worth of weaponry being sold to third-world-country revolutionaries , sort of Enron meets counter-insurgency . But every time he gets enough witnesses for his case , they end up snuffed out at the hands of an assassin whose personality would make Bill Gates seem more like Sean Connery . The film begins with one of Owen 's colleagues at Interpol being assassinated right after a meeting with an IBBC informant who also dies shortly thereafter . Being an IBBC informant or being in the vicinity of an IBBC informant is rather bad for your health . The game is on as Owen must become more creative to muster up evidence into the criminal workings of this international financial firm that would make Bank of America look like Toys R Us . And he must also keep his head above water as he follows strange leads and sift through conflicting evidence . And the chase moves from Germany to France to New York and somehow ends up in Turkey , living up to the title of this being a truly international movie . The only major American character is an agent , played by Naomi Watts in a performance that was satisfactory but not great . This movie is good but has a few flaws . Some of the assassinations seem somewhat improbable , but of course the baddies never seem to be able to get Owen . Another shortcoming is that the film reveals the baddies of the story about midway through . I think I would have preferred if the entire experience was through the eyes of Owen as his investigation leads him inside the workings of IBBC . Once the viewpoint turned to the upper echelon of IBBC , they seemed less mysterious somehow . Still , overall a good film , maybe not the best in the genre , but better than a lot of similar offerings in recent memory . And an outstanding performance by Owen keeps the pace constantly high . A few moments were highly suspenseful which I find much more satisfying than a lot of cars blowing up . The ending was a little sobering which I think was the point . Well done . " ,8
" more then just forgetful entertainment ! . well done , finally a Hollywood movie that takes on banking scandals head on . anyone at current with recent events involving the huge present day banking scandals will very likely enjoy this thriller . some reviewers wrote about anti-climaxing conclusion but i found just the opposite to be true . the ending is flawless in terms of how justice comes and goes around , too bad i can not say more on this without spoiling it ... Clive Owen remains one of my all times favorite actor and i think he was fit for this role 100 percent . after the rather poor scripted shoot them up debacle i am glad to see him back in his own on screen character . there have been many attempts in the media to play down the message sent here , which for obvious reasons and after i watched this feature , makes perfect sense from THEIR point of view . for once i liked the subliminal messages -LRB- from darth Vader toy , to the corporate PR hand-lings , and to the end message itself -RRB- this feature is not recommended for a viewer looking for action in classic sense , albeit there is a shooting sequence 2\/3 in that is extremely WELL DONE and very realistic at the same time . " ,10
" Really good political thriller -LRB- that means it 's does n't have a happy ending -RRB- . How can people averagely grade a movie like this is beyond me . I mean , no , it 's not beyond me , I just refuse to acknowledge that a movie is rated higher if it all ends well and the boy gets the girl . In this movie , ex Scotland Yard Louis Armstrong , now working for the Interpol , is trying to bring down a bank that is facilitating arms deals . At every step of the way he is thwarted by malice , incompetence , bureaucracy and bad luck . Witnesses die of mysterious heart attacks and car accidents , local authorities refuse to help or even do their best to hinder any investigation and so on . Even the next prime minister of Italy is assassinated and the blame thrown on the Red Brigade . So no , it is not a happy movie . The ending is even more realistic and shows in one swift swoop what the solution could be and what secondary -LRB- collateral -RRB- effects it would have . The actors play very well , Clive Owen was perfectly cast for the role , Armin Muehler-Stahl is doing a great calm role , filled with decency , as he always does , even the bad guys are very good . And it 's not that Naomi Watts played badly , but I felt that her role was starved of anything meaningful from the script up . Bottom line : it is a good movie , perfect for this economic climate . It makes you think , even for a small moment , above the meager modern human condition that dooms us to being just ants in a hill . But in the end , it also shows that this is all we can really be . " ,8
" Very Good Intellectuall thriller . The International has a lot of ups , and maybe only one or two downsides for me . It is an excellent movie with some very groundbreaking cinematography , a very good plot , and some surprisingly good acting . The high point for me in the whole movie , is the outstanding cinematography . I was n't expecting anything spectacular , but they pull off some amazing shots , that are brilliant . One shot in particular is an aerial overhead shot of thousands of people running away , and it looks amazing . Acting wise everyone does a pretty good job . Clive Owen is very intense and serious , Naomi Watts gives a surprisingly good American Accent , and the supporting cast is all very good . An interesting technique the director uses , is that he does n't put subtitles when characters speak a foreign language , and there is a translator . Instead he lets them speak , and has the translator translate it back . The only downside to the movie for me was that I did n't think the chemistry was great between Owen and Watts . Watts is a married mother , and Owen is a bachelor . I 'm not encouraging people get involved with each other when one 's married , but I feel that it would 've added more to the movie if there was more chemistry between them . The story is very well put together , and also very well written . My friend found it hard to follow at times , but I think that it made sense for him in the end . The story has one constant theme to it : If you never give up , Justice will be served . The movie stays very true to the theme , because throughout the story you think they 've caught the bank in a shady situation , but something happens to ruin their chances , and they must look somewhere else for a lead . It is full of action , which is very well done , and they add this interesting buzzing sound to the action , which adds a lot to the shot . This is a very well done movie that will entertain you a lot . 8\/10 " ,8
" Brilliant ... best film of the year ! . I saw the trailer and thought this might be a good film . However , trailers can be deceiving and so I knew well not to raise my hopes too high , even though Clive Owen , who is a brilliant actor , was in it . I was absolutely captivated by this excellent film - very much in the style of thrillers of the 50s and early 60s with a modern injection of action . The drama and suspense builds slowly and steadily helped by the background music , then explodes with a fire-fight in New York , -LRB- in our cinema it was just after the break - perfect timing -RRB- , and then takes a strange twist towards the end . This film will most likely appeal more to European audiences than American and may be found lacking by those seeking just a pure action film . But for others ... brilliant - best since a long time . " ,10
" Excellent tight thriller with no fat . All I can say is , this movie contains no clich s. It is reminiscent of `` The French Connection '' or the good hard-boiled cop dramas of the 1970 's . It is a movie that has no `` fat '' . I appreciate the fact that they did n't dumb this movie down or add idiotic slow motion shots of actors shooting two automatic weapons while sliding or doing flips in the air . I appreciate the serious and consistent tone of the picture . Good performances from the cast especially the nefarious German bankers and good pacing by Twyker make for an enjoyable film . The Guggenheim finale set-piece is a classic . Owen 's one-note performance is perfect for his role as an obsessed interpol agent . " ,9
